"hed__School_Code__c","hed__Primary_Contact__c"
"learn.colostate.edu.1124195",""
"learn.colostate.edu.1124214",""
"learn.colostate.edu.1124225",""
"learn.colostate.edu.1124217",""
"learn.colostate.edu.1124236",""
"learn.colostate.edu.1124233",""
"learn.colostate.edu.1124226",""
"learn.colostate.edu.1124239",""
"learn.colostate.edu.1124251",""
"learn.colostate.edu.1124250",""
"learn.colostate.edu.1124252",""
"learn.colostate.edu.1124267","003Qm000007O6CWIA0"
"learn.colostate.edu.1124294","003Qm000007OEWhIAO"
"learn.colostate.edu.1124284","003Qm0000092VowIAE"
"learn.colostate.edu.1124270",""
"learn.colostate.edu.1124283",""
"learn.colostate.edu.1124298",""
"learn.colostate.edu.1124286",""
"learn.colostate.edu.1124295",""
"learn.colostate.edu.1124289",""
"learn.colostate.edu.1124301",""
"learn.colostate.edu.1124296","0035b00003nTiSJAA0"
"learn.colostate.edu.1124288",""
"learn.colostate.edu.1124292",""
"learn.colostate.edu.1124291","003Qm0000092NrWIAU"
"learn.colostate.edu.1124314",""
"learn.colostate.edu.1124299","0035b00002iVNJUAA4"
"learn.colostate.edu.1124304",""
"learn.colostate.edu.1124306","003Qm0000092yPWIAY"
"learn.colostate.edu.1124345",""
"learn.colostate.edu.1124323",""
"learn.colostate.edu.1085688",""
"learn.colostate.edu.1124322",""
"learn.colostate.edu.1124324",""
"learn.colostate.edu.1124370",""
"learn.colostate.edu.1124343",""
"learn.colostate.edu.1124356",""
"learn.colostate.edu.1124355",""
"learn.colostate.edu.1124374",""
"learn.colostate.edu.1124361",""
"learn.colostate.edu.1124375",""
"learn.colostate.edu.1124368","003Qm000004ofaGIAQ"
"learn.colostate.edu.1124369",""
"learn.colostate.edu.1124382","0035b00002zsXNyAAM"
"learn.colostate.edu.1124392",""
"learn.colostate.edu.1124386",""
"learn.colostate.edu.1124394",""
"learn.colostate.edu.1124404",""
"learn.colostate.edu.1124401",""
"learn.colostate.edu.1124399",""
"learn.colostate.edu.1124400",""
"learn.colostate.edu.1124410",""
"learn.colostate.edu.1124409",""
"learn.colostate.edu.1124411",""
"learn.colostate.edu.1124427","003Qm0000096H2cIAE"
"learn.colostate.edu.1124417",""
"learn.colostate.edu.1124428","003Qm0000096fHqIAI"
"learn.colostate.edu.1124423","003Qm0000096crpIAA"
"learn.colostate.edu.1124426",""
"learn.colostate.edu.1124425","003Qm000004L2uAIAS"
"learn.colostate.edu.1124430",""
"learn.colostate.edu.1124432",""
"learn.colostate.edu.1124440",""
"learn.colostate.edu.1124442",""
"learn.colostate.edu.1124445","003Qm000005ZPMrIAO"
"learn.colostate.edu.1124443",""
"learn.colostate.edu.1124450",""
"learn.colostate.edu.1124451","003Qm0000049iQuIAI"
"learn.colostate.edu.1124457",""
"learn.colostate.edu.1124454",""
"learn.colostate.edu.1124469",""
"learn.colostate.edu.1124463",""
"learn.colostate.edu.1124468",""
"learn.colostate.edu.1124470",""
"learn.colostate.edu.1124465",""
"learn.colostate.edu.1124473","003Qm000006Y3ePIAS"
"learn.colostate.edu.1124471","003Qm000005w5u9IAA"
"learn.colostate.edu.1124475",""
"learn.colostate.edu.1124479",""
"learn.colostate.edu.1124487",""
"learn.colostate.edu.1124486","003Qm000001FJufIAG"
"learn.colostate.edu.1124484",""
"learn.colostate.edu.1124490",""
"learn.colostate.edu.1124496",""
"learn.colostate.edu.1124509",""
"learn.colostate.edu.1124519","0035b00003QvxTcAAJ"
"learn.colostate.edu.1086429","0035b00003kkcKsAAI"
"learn.colostate.edu.1124531",""
"learn.colostate.edu.1124540",""
"learn.colostate.edu.1124541",""
